ABAKAILE,Abakaile
ABOGETA EAST,Abogeta East
ABOGETA WEST,Abogeta West
ABOTHUGUCHI CENTRAL,Abothuguchi Central
ABOTHUGUCHI WEST,Abothuguchi West
ADAMASAJIDE,Adamasajide
ADU,Adu
AGENG'A NANGUBA,Ageng'a Nanguba
AGUTHI-GAAKI,Aguthi - Gaaki
AHERO,Ahero
AINABKOI/OLARE,Ainabkoi / Olare
AINAMOI,Ainamoi
AIRBASE,Airbase
AIRPORT,Airport
AKACHIU,Akachiu
AKIRANG'ONDU,Akirang'ondu
AKITHII,Akithii
ALALE,Alale
ALANGO GOF,Alango Gof
AMALO,Amalo
AMUKURA CENTRAL,Amukura Central
AMUKURA EAST,Amukura East
AMUKURA WEST,Amukura West
AMWATHI,Amwathi
ANG'OROM,Ang'orom
ANG'URAI EAST,Ang'urai East
ANG'URAI NORTH,Ang'urai North
ANG'URAI SOUTH,Ang'urai South
ANGATA BARIKOI,Angata Barikoi
ANGATA NANYOKIE,Angata Nanyokie
ANTUAMBUI,Antuambui
ANTUBETWE KIONGO,Antubetwe Kiongo
ARABIA,Arabia
ARBAJAHAN,Arbajahan
ARROR,Arror
ASHABITO,Ashabito
ATHI,Athi
ATHI RIVER,Athi River
ATHIRU GAITI,Athiru Gaiti
ATHIRU RUUJINE,Athiru Ruujine
ATHWANA,Athwana
AWASI/ONJIKO,Awasi / Onjiko
BAAWA,Baawa
BABA DOGO,Babadogo
BAHARI,Bahari
BAHATI,Bahati
BALAMBALA,Balambala
BAMBA,Bamba
BAMBURI,Bamburi
BANGALE,Bangale
BANISSA,Banissa
BANJA,Banja
BARAGWI,Baragwi
BARAKI,Baraki
BARTABWA,Bartabwa
BARUT,Barut
BARWAGO,Barwago
BARWESSA,Barwessa
BASI CENTRAL,Basi Central
BASUBA,Basuba
BATALU,Batalu
BATEI,Batei
BENANE,Benane
BIASHARA,Biashara
BIBIRIONI,Bibirioni
BIDII,Bidii
BIRONGO,Birongo
BOBARACHO,Bobaracho
